bodyType;brand;color;fuelType;modelDate;name;numberOfDoors;productionDate;vehicleConfiguration;vehicleTransmission;engineDisplacement;enginePower;description;mileage;Комплектация;Привод;Руль;Состояние;Владельцы;ПТС;Таможня;Владение;id;price;model
None;BMW ;серый ;дизель ;F01/F02 рестайлинг (2012—2015) ;740d 3.0 xDrive AT (306 л.с.) ;4;2013;None;автомат ;None;None;None;145231 км ;Базовая ;полный ;левый ;не битый ;3;None;None;None;None;1 575 000;7 серия 
None;BMW ;белый ;бензин ;E81/E82/E87/E88 рестайлинг (2007—2011) ;116i 1.6 AT (115 л.с.) ;5;2009;None;автомат ;None;None;None;180000 км ;Базовая ;задний ;левый ;битый ;2;None;None;None;None;375 000;1 серия 
None;BMW ;серебряный ;бензин ;F30/F31 рестайлинг (2015—н. в.) ;330i 2.0 xDrive Steptronic (249 л.с.) ;4;2017;None;автомат ;None;None;None;12577 км ;Base ;полный ;левый ;не битый ;1;None;None;None;None;1 992 380;3 серия 
None;BMW ;серебряный ;бензин ;E53 рестайлинг (2003—2007) ;3.0i 3.0 AT (231 л.с.) ;5;2005;None;автомат ;None;None;None;124008 км ;Базовая ;полный ;левый ;не битый ;3;None;None;None;None;740 000;X5 
None;BMW ;коричневый ;бензин ;E34 (1988—1996) ;525i 2.5 AT (192 л.с.) ;4;1992;None;автомат ;None;None;None;270000 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;180 000;5 серия 
внедорожник ;BMW ;белый ;дизель ;G05 (2018—н. в.) ;30d 3.0 xDrive Steptronic (249 л.с.) ;5;2020;None;None;None;None;None;None;M Sport Pro ;полный ;левый ;None;None;None;None;None;None;6 390 000;X5 
None;BMW ;синий ;бензин ;G14/G15 (2018—н. в.) ;M850i 4.4 xDrive АT (530 л.с.) ;2;2019;None;автомат ;None;None;None;70 км ;Base ;полный ;левый ;не битый ;1;None;None;None;None;8 455 000;8 серия 
None;BMW ;серый ;бензин ;F10/F11 (2009—2013) ;528i 3.0 AT (258 л.с.) ;4;2011;None;автомат ;None;None;None;178000 км ;Luxury ;задний ;левый ;не битый ;3;None;None;None;None;950 000;5 серия 
None;BMW ;чёрный ;бензин ;E60/E61 рестайлинг (2007—2010) ;530i 3.0 AT (272 л.с.) ;4;2008;None;автомат ;None;None;None;127040 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;629 000;5 серия 
None;BMW ;чёрный ;бензин ;F30/F31 (2011—2015) ;320i 2.0 AT (184 л.с.) ;4;2015;None;автомат ;None;None;None;48493 км ;Базовая ;задний ;левый ;не битый ;1;None;None;None;None;1 388 000;3 серия 
